City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,clyde river,70.4692,-68.5914,-35.69,98,93,1.35,CA,1675822221
201,chokurdakh,70.6333,147.9167,-38.75,99,100,1.62,RU,1675822155
202,vestmannaeyjar,63.4427,-20.2734,-0.2699999999999818,57,100,16.36,IS,1675822251
203,meulaboh,4.1363,96.1285,25.399999999999977,76,89,0.97,ID,1675822498
204,evans,33.5337,-82.1307,13.860000000000014,67,0,1.54,US,1675822297
205,yaring,6.8662,101.3689,28.44999999999999,80,47,3.92,TH,1675822499
206,syamzha,60.0158,41.0614,-7.6200000000000045,91,97,4.27,RU,1675822499
207,souillac,-20.5167,57.5167,25.610000000000014,83,40,5.14,MU,1675822244
208,ekibastuz,51.6667,75.3667,-17.399999999999977,97,97,1.52,KZ,1675822499
209,ust-maya,60.4167,134.5333,-34.16999999999999,94,100,0.31,RU,1675822355
210,faya,18.3851,42.4509,7.689999999999998,61,4,1.26,SA,1675822259
211,kahului,20.8947,-156.47,26.05000000000001,74,40,10.29,US,1675822134
212,naron,43.5167,-8.1528,6.079999999999984,71,33,5.61,ES,1675822334
213,leningradskiy,69.3833,178.4167,-31.78,96,100,2.19,RU,1675822253
214,namibe,-15.1961,12.1522,20.519999999999982,75,95,2.09,AO,1675822165
215,miandoab,36.9694,46.1027,-1.3899999999999864,66,100,3.89,IR,1675822500
216,el tigre,8.8875,-64.2454,24.99000000000001,65,93,5.97,VE,1675822501
217,ondjiva,-17.0667,15.7333,21.329999999999984,39,100,4.12,AO,1675822501
218,buin,-33.7333,-70.75,26.689999999999998,51,0,0.93,CL,1675822502
219,turkistan,43.0,68.0,1.089999999999975,67,100,3.75,KZ,1675822502
220,wrzesnia,52.3251,17.5652,-2.240000000000009,82,68,2.11,PL,1675822503
221,sakakah,29.9697,40.2064,6.269999999999982,66,4,6.57,SA,1675822091
222,bamiantong,44.9333,130.5333,-10.680000000000007,81,51,2.76,CN,1675822503
223,ulladulla,-35.35,150.4667,19.160000000000025,83,100,1.79,AU,1675822283
224,bodden town,19.2833,-81.25,26.399999999999977,90,20,7.2,KY,1675822504
225,ustye,59.6304,39.736,-8.45999999999998,92,90,4.17,RU,1675822505
226,longyearbyen,78.2186,15.6401,-4.689999999999998,80,40,9.26,SJ,1675822223
227,bonavista,48.6499,-53.1147,-4.8700000000000045,69,89,9.72,CA,1675822353
228,punto fijo,11.6956,-70.1996,24.19999999999999,80,41,11.18,VE,1675822448
229,gizo,-8.103,156.8419,28.579999999999984,73,100,5.99,SB,1675822505
230,bud,39.447,-86.1758,9.629999999999995,78,100,2.91,US,1675822506
231,pasighat,28.0667,95.3333,15.889999999999986,70,100,1.24,IN,1675822506
232,aldan,58.6031,125.3894,-28.819999999999993,93,100,1.06,RU,1675822507
233,jiexiu,37.0244,111.9125,3.329999999999984,46,100,2.64,CN,1675822507
234,privolzhye,52.8649,48.6044,-20.580000000000013,98,18,2.92,RU,1675822508
235,ixtapa,20.7,-105.2,21.970000000000027,78,0,3.09,MX,1675822508
236,pisco,-13.7,-76.2167,23.430000000000007,83,0,5.14,PE,1675822255
237,xai-xai,-25.0519,33.6442,22.30000000000001,95,69,2.3,MZ,1675822509
238,pemangkat,1.1667,108.9667,26.370000000000005,78,87,1.07,ID,1675822509
